atom,name,delta,Zxx,Zxy,Zxz,Zyx,Zyy,Zyz,Zzx,Zzy,Zzz
2,Nb,0.1,7.3381378743227375,1.717903449763049,-0.000395727658940985,-1.70795849019305,7.3749454724075765,-0.0012468572668949205,-0.1623188958689096,-0.1686250034072419,6.498798956873416
2,Nb,-0.1,7.385789739731791,1.6681289638940968,-0.0007381513768001435,-1.6766874526012712,7.346304761484241,-0.0014332138457208827,0.17351546195219922,0.16693846923678732,7.3574101074301055
3,Nb,0.5,-3.4287656999140257,-1.3668736482179764,0.00019177365246390103,1.244482627623867,1.0056054392898217,-0.0007388551709560601,-0.5412485370546545,8.690637354703345,5.323988801371209
3,Nb,-0.5,1.7163142270103513,3.7347820724421226,0.0002148041531667641,-1.419928611529012,-2.1636100364012765,-0.001057630324515288,-8.71528389223173,0.49428852747855667,8.532626616181012
3,Nb,0.1,7.385789838805304,-1.717906217536423,0.0003958681424656763,1.6766874526012712,7.374944771622782,-0.0012468472010769564,-0.17351437892115137,-0.1686239840839044,6.498799402827376
3,Nb,-0.1,7.338136182556509,-1.668132120937625,0.0007383399435905049,1.707959636931805,7.346303933284029,-0.0014332032702412448,0.1623184499149477,0.16693674912865708,7.357410043722395
4,O,0.5,-1.4663757113168883,0.1795963981309717,0.06200282380115063,0.26423622199442504,-3.9260730634375305,-2.0930183621162155,0.10451258519154466,-1.8833570721227615,-3.1506385334830136
4,O,-0.5,-1.7464954425064794,0.3055252908611157,0.18372268837934183,0.29994793110729917,2.1086152960835443,-1.4038625849615285,0.2058253233019386,-10.586880317477487,-2.130992337543189
4,O,0.1,-1.5895484358586731,0.2168175136265459,0.12230579001817463,0.30011931600509334,-4.125361637113308,-1.9320250633242513,0.16047143602646233,-1.8589333459345252,-2.7602411479814393
4,O,-0.1,-1.6523660557454358,0.2424450507942551,0.1477125799754952,0.30356766825494386,-4.049677917191754,-1.7606446564138845,0.17905803260265085,-1.733831091875263,-2.533530258988302
5,O,0.5,-2.701319343643312,-1.4553986310313565,1.7817881752233344,-0.9334363493976424,-2.395623709250607,1.1002569630940018,1.0181236071867479,1.0091860017774568,-3.1505686588681927
5,O,-0.5,-3.520241720054909,-0.7940901210052167,1.1244088239803736,-1.2786500273755546,-2.3469411106615046,0.8613634491244766,1.8044763278812086,0.8399608972380451,-2.1317760825162466
5,O,0.1,-3.1443363390273995,-1.3151758988112587,1.6121785960671458,-1.122452539236083,-2.476388257512083,1.0722533680421782,1.380722707398796,1.0660837768221043,-2.76054401442825
5,O,-0.1,-3.3482283726030153,-1.160412262889517,1.4517098641063455,-1.2118185461136841,-2.4588283929707657,1.0091190101912821,1.5696373418492082,1.0214707974564123,-2.5340343780866585
6,O,0.5,-3.2722170660461987,0.48470377633085304,-1.843992400335564,0.6836055034522869,-1.8111661578298712,0.9937266783210248,-1.4504516863977417,0.42881942812458945,-3.150628849911302
6,O,-0.5,-3.6816470346405796,1.2604315986214463,-1.3080514742335685,1.029605836775251,-2.144321419100662,0.5436502011357093,-1.5042196036499345,1.0318186749284692,-2.132154633720902
6,O,0.1,-3.657942152275452,0.8177735395409176,-1.7345510668613975,0.9370528050886312,-1.9726450346364026,0.8607966528024226,-1.642445951483129,0.686751579367091,-2.760108827070624
6,O,-0.1,-3.7413788357666893,0.9883896283077451,-1.599322253051026,1.0058525885546161,-2.0486721763127522,0.7528330279150461,-1.6342611036174148,0.8219708723869776,-2.5344431267452032
7,O,0.5,-3.68164688741046,-0.48470379474077535,1.8439922672517663,-1.0296057475844589,-1.8111661450883296,0.9937265891302326,1.5042195526837676,0.42881931345071433,-3.150628747978968
7,O,-0.5,-3.2722170476362753,-1.2604316821438575,1.308051352486532,-0.6836054779692033,-2.144321508291454,0.5436501883941676,1.4504516354315748,1.031818725894636,-2.1321545317885677
7,O,0.1,-3.741378672985466,-0.8177735678828207,1.7345509111040773,-1.0058525248469075,-1.9726450983441113,0.8607966528024226,1.6342609762019973,0.686751579367091,-2.7601086359475
7,O,-0.1,-3.6579420602258406,-0.9883896636735506,1.5993220902698035,-0.9370527413809226,-2.0486721763127522,0.7528329642073376,1.6424458240677116,0.8219709360946881,-2.5344429993297855
8,O,0.5,-1.74649544817486,-0.17959635283318542,-0.062002854952614705,-0.2999478673995905,-3.9260728977974875,-2.093018311150048,-0.20582529781885517,-1.8833571230889283,-3.1506385462245547
8,O,-0.5,-1.4663756929069658,-0.30552533615890193,-0.18372270819404465,-0.2642361965113416,2.108615347049711,-1.4038626104446121,-0.10451259793308673,-10.586880368443651,-2.130992388509356
8,O,0.1,-1.6523660840873389,-0.21681754196844902,-0.12230581836007778,-0.3035676045472352,-4.125361509697891,-1.9320250633242513,-0.17905803260265085,-1.8589334096422354,-2.7602411479814393
8,O,-0.1,-1.5895484712244785,-0.24244508616006064,-0.1477126153413007,-0.3001192522973847,-4.049677853484044,-1.7606446564138845,-0.16047143602646233,-1.7338311555829735,-2.5335303226960106
9,O,0.5,-3.5202417257232903,1.4553988292276434,-1.781788193633257,1.278650014634013,-2.3956238111829413,1.1002569376109184,-1.804476366105834,1.0091861037097904,-3.1505686333851086
9,O,-0.5,-2.70131940168264,0.7940902413474727,-1.1244087928289095,0.9334364003638093,-2.3469411616276714,0.8613634108998514,-1.0181236708944565,0.8399609991703788,-2.1317760825162466
9,O,0.1,-3.3482284646526277,1.3151761253001903,-1.6121786244090488,1.2118186098213928,-2.4763883212197912,1.0722533680421782,-1.5696374692646253,1.0660839042375214,-2.76054401442825
9,O,-0.1,-3.1443364381009133,1.1604124186468376,-1.4517098357644425,1.1224526029437913,-2.458828520386183,1.0091189464835733,-1.380722834814213,1.0214709248718294,-2.5340343780866585
